,club,league,age,BMI,nationality,potential,pac,sho,pas,dri,def,phy,international_reputation,skill_moves,weak_foot,work_rate_att,work_rate_def,preferred_foot,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,rw,rb,st,lw,cf,cam,cm,cdm,cb,lb,gk,y
2350,362,13,28.912328767123288,22.83500982772575,68,68,45,30,49,51,60,81,1,2,3,1,2,1,43,23,56,56,27,48,36,28,53,57,47,44,49,53,53,43,78,77,86,25,72,56,45,49,39,61,62,60,10,9,15,10,8,46.0,57.0,46.0,46.0,46.0,48.0,53.0,60.0,63.0,57.0,,50.0
2351,267,8,29.28219178082192,26.528510346119035,147,58,59,43,49,54,42,52,1,1,2,1,1,1,12,14,19,24,20,20,13,19,18,18,42,42,38,49,49,21,51,35,80,13,18,23,16,49,22,13,17,13,59,43,49,52,54,,,,,,,,,,,53.0,6.0
2352,617,30,37.19178082191781,25.712198685171657,75,67,59,51,58,55,66,71,1,2,3,1,1,1,50,50,70,64,44,51,42,59,62,63,67,52,55,56,55,65,62,64,79,39,62,62,50,58,58,65,69,68,11,14,15,16,16,55.0,63.0,58.0,55.0,56.0,57.0,59.0,64.0,66.0,63.0,,30.0
2353,543,29,35.27945205479452,24.02127598730304,155,76,72,71,62,78,38,82,1,1,2,1,1,1,17,11,15,24,11,13,13,15,21,16,37,39,30,71,35,25,53,35,72,13,43,18,14,38,23,13,21,22,72,71,62,82,78,,,,,,,,,,,76.0,470.0
2354,303,12,24.65205479452055,21.967857555786797,148,72,58,38,49,51,53,66,1,2,3,1,1,1,34,31,46,61,45,43,31,43,57,61,54,62,56,52,65,46,54,60,73,38,61,55,45,43,50,41,64,57,7,6,12,8,9,48.0,54.0,48.0,48.0,49.0,50.0,53.0,57.0,57.0,54.0,,25.0
2355,524,24,33.64931506849315,22.981901752370007,51,73,81,72,62,77,29,63,1,4,4,2,1,1,66,75,63,66,66,77,57,56,57,75,82,81,86,73,67,73,57,82,62,66,42,31,74,56,72,21,24,26,8,9,14,12,14,73.0,52.0,72.0,73.0,73.0,71.0,64.0,50.0,42.0,52.0,,400.0
2356,634,36,27.353424657534248,22.83500982772575,110,70,69,55,58,58,62,78,1,3,2,1,2,1,49,51,62,66,34,56,43,51,61,58,69,69,66,64,54,64,74,84,76,58,74,63,59,55,66,62,62,58,14,10,5,9,13,59.0,63.0,60.0,59.0,60.0,60.0,62.0,64.0,65.0,63.0,,62.5
2357,605,40,27.205479452054796,21.224489795918366,74,80,90,65,68,82,41,54,2,4,3,1,1,1,68,66,58,71,68,83,79,62,57,81,89,91,88,73,79,65,66,61,55,60,41,49,73,71,70,32,39,37,8,9,15,6,7,76.0,59.0,71.0,76.0,75.0,75.0,68.0,56.0,50.0,59.0,,1000.0
2358,634,36,30.427397260273974,24.031709372366656,131,75,81,49,66,71,69,73,1,2,2,2,1,1,64,50,53,73,53,74,44,46,69,66,82,81,73,67,71,51,70,90,65,42,73,70,55,62,41,68,73,75,7,7,14,7,11,66.0,72.0,60.0,66.0,64.0,66.0,68.0,71.0,69.0,72.0,,390.0
2359,119,30,39.16712328767123,20.1934318205973,65,77,75,77,72,75,54,80,1,1,2,1,1,2,19,17,11,28,11,18,13,12,18,22,52,55,25,74,30,24,70,40,72,11,40,23,17,30,35,11,13,13,75,77,72,80,75,,,,,,,,,,,77.0,210.0
2360,483,39,39.10958904109589,23.03875236294896,49,66,41,46,50,35,64,70,1,2,3,0,2,1,26,44,74,56,38,24,29,34,55,43,32,48,39,64,53,57,80,53,76,48,76,56,23,68,40,66,65,63,16,9,7,6,15,40.0,55.0,48.0,40.0,44.0,46.0,52.0,60.0,65.0,55.0,,15.0
2361,253,15,28.117808219178084,22.53061224489796,102,75,71,64,64,70,69,74,1,3,3,1,1,1,54,58,62,72,56,68,50,40,69,72,69,72,75,71,69,78,72,82,68,70,79,69,60,64,55,69,72,66,11,14,12,9,13,67.0,69.0,66.0,67.0,67.0,68.0,70.0,71.0,70.0,69.0,,300.0
2362,10,9,36.80821917808219,21.22000905387053,155,75,75,70,77,78,43,71,1,1,2,1,1,1,12,11,13,38,12,15,11,12,36,17,42,43,48,75,47,25,63,31,62,12,37,22,12,17,24,13,15,11,75,70,77,71,78,,,,,,,,,,,75.0,380.0
2363,80,37,34.24109589041096,21.36686914318855,96,72,70,68,66,66,71,79,1,2,3,1,2,1,63,60,64,68,65,65,68,69,72,64,71,69,73,64,66,81,81,87,75,74,78,73,59,59,70,74,68,70,7,16,11,7,9,65.0,70.0,66.0,65.0,65.0,65.0,67.0,71.0,71.0,70.0,,230.0
2364,369,26,33.21369863013699,24.332277048438208,64,68,69,62,75,73,39,65,1,1,2,1,1,1,14,12,18,21,7,14,15,11,20,20,37,41,44,62,49,26,60,31,72,20,44,10,10,60,26,9,8,12,69,62,75,65,73,,,,,,,,,,,68.0,60.0
2365,46,17,27.054794520547944,21.106877552698666,163,75,72,67,65,75,43,67,1,1,3,1,1,1,15,12,13,27,14,13,17,13,24,23,42,44,36,65,38,19,67,39,68,16,32,23,14,26,18,11,14,12,72,67,65,67,75,,,,,,,,,,,70.0,170.0
2366,240,41,25.317808219178083,22.720438370810918,111,72,76,56,52,63,21,49,1,2,2,1,0,1,35,57,55,60,52,63,56,37,54,59,79,74,66,61,78,57,59,57,50,50,34,13,59,58,61,18,19,21,9,10,8,10,11,60.0,40.0,59.0,60.0,61.0,60.0,54.0,40.0,34.0,40.0,,37.5
2367,263,29,21.813698630136987,24.25867407194612,155,71,58,35,38,39,63,60,1,2,3,1,1,1,37,31,64,43,34,30,34,31,40,44,54,62,48,55,71,40,71,55,60,32,62,58,44,30,53,61,67,63,13,5,6,9,9,41.0,56.0,45.0,41.0,42.0,40.0,43.0,53.0,61.0,56.0,,35.0
2368,156,27,33.21369863013699,23.766410140334994,54,75,55,40,58,59,75,76,1,2,3,1,1,1,56,30,73,66,49,58,62,49,76,62,49,60,51,67,53,60,51,61,83,42,84,75,40,36,42,74,77,73,12,12,12,13,11,53.0,67.0,54.0,53.0,52.0,53.0,60.0,70.0,74.0,67.0,,500.0
2369,630,3,32.87671232876713,25.451113843690127,106,66,80,64,48,63,21,76,1,2,2,1,1,1,52,67,62,56,67,63,37,32,42,61,82,79,68,58,71,66,77,51,86,54,83,19,62,43,63,13,18,13,10,9,6,7,7,62.0,41.0,65.0,62.0,62.0,59.0,50.0,41.0,41.0,41.0,,65.0
2370,169,38,27.268493150684932,23.040020199469765,5,82,78,71,70,80,53,68,1,3,5,2,2,1,76,72,44,75,65,80,69,61,62,79,79,77,85,76,75,68,62,95,58,72,60,58,74,65,64,52,56,48,13,6,13,11,10,76.0,66.0,70.0,76.0,74.0,74.0,72.0,65.0,58.0,66.0,,1200.0
2371,600,7,30.742465753424657,23.334120982986768,102,72,70,57,62,66,70,71,1,2,3,1,1,2,72,49,59,67,46,65,71,56,62,67,66,73,62,71,64,70,57,76,71,65,66,76,57,44,64,67,73,72,7,10,15,10,10,63.0,71.0,62.0,63.0,62.0,61.0,64.0,69.0,69.0,71.0,,260.0
2372,219,34,34.07397260273972,22.724403484408533,140,75,93,71,63,77,39,73,1,4,3,2,0,1,68,74,59,66,36,77,50,39,58,74,93,93,84,74,78,76,72,72,79,68,60,45,75,65,58,35,35,30,12,8,12,16,16,75.0,57.0,74.0,75.0,75.0,73.0,66.0,56.0,52.0,57.0,,650.0
2373,544,30,29.416438356164385,22.530864197530864,65,70,82,65,62,69,59,66,1,3,3,2,1,2,66,63,48,58,59,68,68,73,57,68,79,85,76,60,74,70,70,76,60,67,66,59,63,63,59,56,63,63,9,11,10,7,7,67.0,65.0,64.0,67.0,66.0,65.0,63.0,62.0,60.0,65.0,,95.0
2374,331,41,26.019178082191782,23.671253629592222,102,82,77,61,71,74,70,67,1,3,3,2,1,2,79,53,59,72,60,75,72,74,65,74,78,76,70,77,67,75,63,75,65,70,65,73,71,65,34,67,74,72,11,13,16,14,6,72.0,73.0,68.0,72.0,71.0,71.0,71.0,71.0,69.0,73.0,,700.0
2375,26,26,37.21643835616438,23.183673469387756,64,71,67,50,70,67,70,56,1,2,3,1,1,1,73,45,69,74,55,61,61,62,71,72,63,71,77,71,79,53,55,63,54,51,54,54,51,61,63,72,77,75,14,8,7,8,7,64.0,70.0,59.0,64.0,62.0,64.0,66.0,68.0,67.0,70.0,,90.0
2376,262,3,33.18630136986302,25.147415886229624,25,70,60,56,56,54,68,76,1,2,3,1,2,1,55,46,69,58,35,48,76,79,60,61,53,65,53,66,59,86,90,72,79,57,71,66,36,42,59,69,68,67,10,14,6,8,13,53.0,65.0,58.0,53.0,54.0,53.0,57.0,65.0,69.0,65.0,,140.0
2377,84,15,29.28767123287671,23.515579071134628,70,75,55,35,59,65,74,81,1,2,3,0,2,1,44,25,73,69,31,63,48,30,66,68,54,56,70,75,53,50,49,76,85,39,83,75,47,60,39,72,76,71,9,13,14,13,6,56.0,68.0,55.0,56.0,57.0,60.0,65.0,72.0,74.0,68.0,,410.0
2378,21,30,35.775342465753425,19.927728770326283,75,71,33,57,74,66,66,74,1,2,4,1,1,2,78,45,68,72,33,65,84,78,72,71,34,33,63,65,58,74,48,71,78,65,72,73,64,72,76,58,72,55,7,6,12,16,6,62.0,64.0,61.0,62.0,62.0,65.0,70.0,70.0,67.0,64.0,,160.0
2379,504,22,26.024657534246575,22.992624443847234,30,86,74,66,69,77,65,77,2,3,3,2,2,1,62,60,58,76,49,79,61,42,72,78,75,73,73,68,69,75,63,79,79,74,72,67,70,72,56,59,71,63,9,8,9,11,10,72.0,69.0,70.0,72.0,72.0,73.0,74.0,71.0,68.0,69.0,,1100.0
2380,560,5,41.583561643835615,23.449340844748207,134,67,32,42,59,50,66,66,1,2,3,1,1,1,60,31,67,58,45,45,39,64,67,60,31,32,34,66,55,58,77,33,80,44,67,69,41,58,69,66,67,58,12,12,7,9,7,48.0,57.0,50.0,48.0,49.0,51.0,57.0,63.0,66.0,57.0,,10.0
2381,641,15,34.3013698630137,24.302487059714682,149,67,63,34,62,63,66,65,1,2,3,1,1,2,62,29,55,67,38,62,69,57,60,64,62,64,62,65,68,43,41,71,64,32,65,67,42,55,37,68,67,66,9,6,9,7,13,56.0,66.0,50.0,56.0,54.0,57.0,60.0,65.0,64.0,66.0,,55.0
2382,70,41,21.934246575342467,24.22145328719723,65,72,73,53,43,59,19,37,1,2,3,1,1,1,28,58,55,52,36,56,35,30,50,57,71,75,73,53,72,48,58,36,39,51,30,10,54,42,60,11,20,20,12,12,13,5,8,55.0,35.0,55.0,55.0,55.0,54.0,47.0,34.0,31.0,35.0,,19.0
2383,77,38,30.561643835616437,24.85836512891664,163,77,75,77,60,69,36,80,1,2,4,2,2,1,54,79,69,68,73,71,59,44,48,68,72,77,68,74,59,81,65,80,81,72,80,36,77,63,66,27,35,28,15,7,6,16,16,70.0,53.0,75.0,70.0,72.0,70.0,64.0,54.0,51.0,53.0,,900.0
2384,48,31,22.512328767123286,20.603780345785182,111,67,63,24,33,43,51,73,1,2,3,1,1,1,31,19,42,40,23,37,36,24,29,40,70,58,63,47,67,35,72,65,77,22,74,49,29,26,38,51,56,53,15,8,10,13,15,38.0,50.0,38.0,38.0,37.0,37.0,38.0,48.0,55.0,50.0,,13.0
2385,336,27,37.21643835616438,22.024322512687924,54,72,80,45,59,61,67,62,1,2,2,2,0,2,72,40,59,68,49,61,64,40,53,57,82,79,68,67,57,55,71,86,58,48,41,67,40,40,38,67,68,73,10,15,9,9,12,59.0,71.0,55.0,59.0,56.0,56.0,58.0,64.0,64.0,71.0,,120.0
2386,358,25,27.616438356164384,23.14814814814815,1,58,59,48,57,53,47,58,1,3,3,1,2,1,55,47,63,68,39,53,45,39,60,51,60,58,56,38,65,58,56,60,56,45,62,39,45,47,39,48,47,45,13,5,13,7,13,52.0,51.0,52.0,52.0,51.0,52.0,53.0,52.0,51.0,51.0,,9.0
2387,514,35,25.123287671232877,22.282592106468055,43,72,70,32,49,60,62,67,1,2,2,0,2,1,51,29,62,57,26,57,40,36,48,60,74,67,68,60,65,39,65,70,68,28,63,61,48,39,42,60,64,65,13,13,14,14,14,53.0,62.0,50.0,53.0,51.0,52.0,53.0,59.0,63.0,62.0,,57.5
2388,217,23,30.095890410958905,21.604938271604937,51,72,60,65,71,70,34,56,1,3,3,1,1,1,70,66,43,73,57,69,58,67,71,71,63,58,71,67,69,65,54,64,58,65,39,25,70,72,64,30,42,34,5,8,6,13,6,68.0,51.0,64.0,68.0,68.0,69.0,66.0,53.0,43.0,51.0,,210.0
2389,179,21,32.83013698630137,22.642192971863302,163,67,75,56,69,66,51,66,1,3,3,1,1,2,72,49,57,67,51,65,75,71,70,64,74,75,71,62,73,73,71,71,61,57,71,52,61,68,54,46,51,53,15,7,7,6,9,65.0,60.0,62.0,65.0,64.0,65.0,64.0,60.0,57.0,60.0,,77.5
2390,61,30,27.682191780821917,24.622960911049553,75,70,88,62,54,71,33,67,1,4,3,2,1,1,62,56,64,53,54,75,71,44,44,62,89,87,82,62,77,74,91,66,70,66,57,60,62,54,52,19,21,29,9,12,13,8,6,66.0,52.0,65.0,66.0,65.0,63.0,56.0,48.0,47.0,52.0,,85.0
2391,344,15,22.123287671232877,22.857142857142858,30,80,80,59,59,73,38,51,1,4,3,1,1,1,54,54,44,64,55,74,66,54,55,67,84,76,91,55,86,66,36,55,44,66,68,32,60,60,45,34,45,30,11,14,8,10,11,66.0,50.0,60.0,66.0,64.0,65.0,59.0,50.0,44.0,50.0,,110.0
2392,457,14,29.046575342465754,23.483476686283385,146,68,64,65,40,55,19,61,1,2,2,2,0,1,30,69,68,50,50,52,35,30,33,59,65,63,60,54,58,67,64,56,73,62,35,10,69,42,50,15,15,15,14,6,8,8,12,56.0,36.0,64.0,56.0,59.0,55.0,47.0,35.0,35.0,36.0,,70.0
2393,611,5,30.682191780821917,24.4140625,52,77,74,68,78,75,48,74,1,1,4,1,1,1,12,11,13,35,14,21,13,14,46,23,47,48,45,67,53,23,71,33,71,13,26,21,13,28,25,15,11,12,74,68,78,74,75,,,,,,,,,,,73.0,360.0
2394,576,3,38.35890410958904,23.795526441029086,52,65,49,46,50,53,63,75,1,2,3,1,1,1,42,42,58,56,52,52,49,38,53,55,51,47,47,62,52,52,65,73,82,50,64,63,35,47,55,64,64,63,16,11,6,13,15,49.0,59.0,51.0,49.0,50.0,50.0,54.0,61.0,64.0,59.0,,16.0
2395,180,36,32.64109589041096,24.0493435943866,101,70,53,44,56,40,69,72,1,2,3,1,2,2,48,41,62,64,32,33,42,46,57,42,54,52,53,72,44,54,82,57,83,43,62,70,43,54,38,71,70,68,16,14,10,16,10,48.0,62.0,51.0,48.0,49.0,50.0,55.0,64.0,69.0,62.0,,140.0
2396,438,14,26.027397260273972,23.545706371191137,146,65,63,52,51,69,40,50,1,1,2,1,1,1,13,17,15,31,16,20,21,16,22,23,40,40,34,55,45,21,50,36,75,12,23,21,17,19,27,16,20,17,63,52,51,50,69,,,,,,,,,,,59.0,16.0
2397,351,22,28.61917808219178,24.94449165318933,54,84,75,76,70,86,39,78,1,1,2,1,1,1,17,13,19,27,20,16,19,18,20,21,44,35,30,82,37,21,52,32,78,14,27,11,13,65,23,20,19,16,75,76,70,78,86,,,,,,,,,,,80.0,1400.0
2398,567,31,34.49041095890411,22.857142857142858,68,66,47,43,54,53,63,74,1,2,3,1,1,1,54,44,56,60,41,49,47,33,58,56,48,47,51,65,61,51,76,63,74,32,85,67,43,47,44,62,63,63,9,6,8,14,16,51.0,60.0,51.0,51.0,50.0,51.0,55.0,63.0,65.0,60.0,,47.5
2399,443,25,34.12054794520548,23.766410140334994,24,72,59,56,65,60,68,82,1,2,3,1,2,1,56,41,65,71,50,56,61,60,67,70,53,64,49,67,46,76,71,77,89,72,74,75,59,62,50,64,69,67,16,10,14,7,7,60.0,67.0,62.0,60.0,62.0,62.0,67.0,71.0,71.0,67.0,,230.0
2400,401,40,27.50958904109589,25.18107741059303,111,81,62,27,49,54,75,76,1,2,3,1,2,1,46,23,74,61,33,46,29,16,54,58,62,62,72,69,52,40,83,67,83,27,69,70,21,39,19,79,74,72,10,15,7,10,15,48.0,67.0,47.0,48.0,46.0,48.0,53.0,66.0,73.0,67.0,,700.0
2401,95,14,30.164383561643834,22.15910864205237,146,69,74,54,62,62,63,81,1,2,3,1,2,2,58,43,63,67,51,57,46,56,64,65,74,74,71,71,71,70,79,92,78,61,77,68,60,61,51,57,66,65,15,11,9,6,9,62.0,68.0,62.0,62.0,62.0,63.0,66.0,68.0,67.0,68.0,,90.0
2402,131,36,23.156164383561645,23.16337327347079,131,72,61,52,63,66,38,58,1,1,2,1,1,2,12,6,11,17,6,14,13,13,27,16,35,41,24,46,38,21,51,23,58,6,28,6,8,35,13,6,12,12,61,52,63,58,66,,,,,,,,,,,59.0,23.0
2403,177,25,30.301369863013697,22.22222222222222,1,72,76,58,65,75,38,67,1,4,3,2,1,2,71,60,51,67,40,77,64,65,55,73,78,74,79,69,73,54,66,70,72,58,53,49,71,63,62,21,46,34,11,6,8,8,10,71.0,56.0,65.0,71.0,68.0,69.0,65.0,55.0,50.0,56.0,,280.0
2404,107,6,31.254794520547946,21.106877552698666,65,64,68,64,56,62,56,74,1,3,4,2,2,1,48,60,72,62,51,59,44,48,62,64,61,73,63,68,66,72,72,83,71,70,70,60,63,56,57,55,53,48,15,8,10,8,7,61.0,60.0,65.0,61.0,63.0,62.0,63.0,62.0,61.0,60.0,,47.5
2405,501,20,35.07671232876712,21.36686914318855,90,65,59,30,50,49,64,72,1,2,3,1,2,1,28,23,67,62,29,48,28,30,56,45,55,63,58,53,61,45,84,68,75,28,67,64,28,56,37,60,66,62,8,6,13,10,6,44.0,58.0,45.0,44.0,45.0,48.0,53.0,61.0,64.0,58.0,,37.5
2406,365,10,26.58082191780822,21.224489795918366,8,68,76,48,51,59,38,62,1,3,3,1,1,1,46,46,44,57,42,56,39,44,53,58,75,77,72,51,72,53,60,68,60,49,58,42,59,50,46,30,40,43,7,12,15,7,9,57.0,50.0,54.0,57.0,56.0,56.0,54.0,50.0,46.0,50.0,,18.0
2407,355,11,26.153424657534245,23.38868655818771,163,84,78,64,68,78,38,56,1,3,5,2,1,1,68,62,40,73,55,76,57,67,54,77,75,81,89,72,87,73,71,75,52,63,36,43,67,73,60,30,40,43,15,10,9,9,12,73.0,57.0,66.0,73.0,71.0,72.0,67.0,55.0,47.0,57.0,,700.0
2408,565,10,36.68219178082192,27.160493827160494,70,65,43,41,45,45,60,79,1,2,3,1,1,1,39,37,63,52,35,42,34,26,48,46,43,43,42,55,64,58,70,60,85,42,88,62,19,43,33,58,59,62,7,6,10,8,11,42.0,55.0,46.0,42.0,43.0,43.0,48.0,58.0,64.0,55.0,,30.0
2409,275,22,29.21095890410959,23.328993055555557,146,66,67,64,67,63,46,61,1,1,2,1,1,1,12,17,10,33,20,12,18,11,37,29,42,49,53,43,50,39,50,32,46,14,41,21,13,24,22,13,13,12,67,64,67,61,63,,,,,,,,,,,63.0,32.5
2410,66,10,26.96712328767123,21.91380569758948,68,65,56,52,51,53,30,51,1,1,3,1,1,1,13,14,14,25,19,14,15,20,22,19,34,27,38,60,44,22,56,27,51,12,21,19,7,32,19,18,20,12,56,52,51,51,53,,,,,,,,,,,55.0,11.0
2411,454,32,34.057534246575344,23.7021620996647,119,73,72,70,67,74,37,77,1,3,3,2,1,1,66,70,72,70,62,76,62,66,58,74,71,73,71,70,59,71,81,73,81,69,69,38,75,70,71,24,39,30,14,9,15,14,9,72.0,54.0,72.0,72.0,72.0,71.0,67.0,55.0,52.0,54.0,,390.0
2412,614,14,34.33150684931507,23.671253629592222,146,68,61,50,63,63,55,79,1,2,2,1,1,1,58,37,58,71,48,58,46,43,73,69,69,55,64,70,72,71,83,93,74,57,72,65,59,58,44,48,56,54,6,8,10,13,12,60.0,63.0,59.0,60.0,61.0,62.0,67.0,66.0,62.0,63.0,,82.5
2413,202,5,26.306849315068494,20.987654320987655,138,73,60,52,63,69,37,56,1,3,3,1,1,2,65,45,49,65,42,68,68,38,61,73,65,55,68,57,70,54,60,56,57,67,50,33,52,62,47,35,37,38,14,15,12,6,10,62.0,50.0,56.0,62.0,60.0,63.0,60.0,51.0,45.0,50.0,,70.0
2414,415,32,28.202739726027396,21.266540642722116,132,67,62,53,60,56,55,63,1,3,3,1,1,1,50,52,58,64,29,53,64,36,60,57,64,61,63,65,61,61,67,62,64,55,60,50,59,68,40,55,55,63,14,6,11,10,6,58.0,58.0,58.0,58.0,59.0,60.0,60.0,59.0,58.0,58.0,,35.0
2415,227,38,25.684931506849313,20.81165452653486,163,87,70,50,76,76,76,68,3,2,3,1,1,1,58,47,63,89,55,73,58,46,83,81,74,67,77,84,65,54,64,82,63,52,64,86,56,79,50,67,82,76,6,14,16,11,7,70.0,77.0,64.0,70.0,70.0,74.0,79.0,80.0,74.0,77.0,,2100.0
2416,140,27,29.21095890410959,26.812218711098343,54,74,59,68,68,70,72,76,1,2,4,1,1,1,56,59,59,75,72,70,65,60,74,72,53,64,60,74,66,83,67,70,80,76,74,71,64,66,64,74,76,68,9,10,7,9,16,66.0,69.0,68.0,66.0,68.0,69.0,71.0,73.0,72.0,69.0,,500.0
2417,580,5,24.334246575342465,21.32943754565376,163,63,69,38,46,61,29,54,1,3,4,1,1,2,50,42,42,51,41,62,46,41,38,58,68,69,66,45,65,34,63,53,58,30,41,22,41,40,36,26,32,34,14,13,13,13,9,53.0,43.0,48.0,53.0,50.0,50.0,45.0,40.0,39.0,43.0,,11.0
2418,96,27,29.21095890410959,21.97133585722012,54,66,79,64,61,75,30,46,1,4,5,2,0,1,61,67,57,61,63,75,51,52,55,71,82,77,91,62,89,62,51,59,43,61,34,31,67,68,53,31,23,22,9,14,12,10,9,70.0,48.0,65.0,70.0,68.0,68.0,61.0,46.0,39.0,48.0,,72.5
2419,312,7,21.96164383561644,23.03875236294896,102,72,59,66,63,57,29,69,1,1,3,1,1,1,14,8,13,25,5,7,13,13,26,16,28,30,34,55,41,17,58,27,43,6,22,12,7,34,13,7,10,12,59,66,63,69,57,,,,,,,,,,,63.0,37.5
2420,503,41,35.12054794520548,20.987654320987655,52,72,69,66,65,63,70,81,1,3,3,1,2,1,60,59,63,70,62,59,61,51,67,63,66,71,70,68,74,85,74,81,79,70,86,75,60,63,47,67,73,69,22,22,28,24,23,64.0,69.0,66.0,64.0,65.0,64.0,67.0,71.0,72.0,69.0,,210.0
2421,419,25,29.035616438356165,24.22145328719723,1,67,71,44,48,60,60,67,1,3,3,2,1,1,55,48,42,52,39,62,35,41,38,53,73,70,60,58,81,44,64,71,64,36,68,64,51,48,44,59,62,65,10,13,10,10,14,56.0,61.0,52.0,56.0,54.0,53.0,52.0,58.0,60.0,61.0,,32.5
2422,165,6,35.71506849315068,22.093170054286077,164,64,59,54,62,59,62,67,1,2,3,1,1,2,64,54,55,60,47,57,72,71,54,61,60,58,62,68,50,55,54,68,65,57,75,62,47,65,47,64,63,62,16,10,13,14,9,59.0,63.0,57.0,59.0,58.0,59.0,60.0,63.0,63.0,63.0,,30.0
2423,287,36,28.67945205479452,22.724403484408533,131,74,77,69,48,70,21,39,1,3,3,1,1,1,49,70,67,62,66,67,37,43,39,68,71,81,91,70,78,68,28,34,34,70,59,25,73,34,59,11,17,13,6,10,6,15,7,66.0,41.0,68.0,66.0,67.0,63.0,53.0,39.0,35.0,41.0,,140.0
2424,485,9,38.8986301369863,21.705129432793896,1,74,58,50,66,66,78,73,2,2,3,1,1,2,70,36,65,69,58,64,71,62,65,69,56,60,60,78,68,68,69,68,74,62,76,77,59,56,33,81,78,79,7,6,13,13,6,62.0,73.0,60.0,62.0,62.0,62.0,66.0,73.0,75.0,73.0,,120.0
2425,396,26,37.21643835616438,23.589835468362747,64,73,69,69,72,73,35,70,1,3,3,2,0,1,73,62,61,75,72,74,71,72,61,75,73,65,66,82,62,77,55,71,77,74,54,33,70,76,66,31,31,32,12,16,7,15,9,72.0,54.0,71.0,72.0,73.0,73.0,69.0,56.0,48.0,54.0,,240.0
2426,159,16,28.44109589041096,23.671253629592222,29,72,73,57,62,67,52,75,1,2,3,1,1,1,54,53,52,68,52,67,59,64,64,69,71,75,61,61,65,68,63,83,77,60,65,50,53,60,55,47,59,53,14,13,13,8,14,63.0,61.0,62.0,63.0,63.0,64.0,64.0,62.0,58.0,61.0,,75.0
2427,166,40,40.47123287671233,21.68146107540047,111,66,67,64,63,63,52,65,1,1,2,1,1,1,13,11,20,28,12,11,13,11,18,26,51,52,54,68,51,25,32,44,76,13,40,24,13,21,41,11,12,12,67,64,63,65,63,,,,,,,,,,,66.0,9.0
2428,422,27,33.21369863013699,21.777553339224845,54,76,79,53,70,74,75,73,1,3,4,1,1,2,74,51,69,71,47,73,51,52,71,72,78,79,83,75,81,55,71,86,68,53,69,77,67,71,61,76,74,73,16,15,15,7,7,70.0,75.0,65.0,70.0,68.0,70.0,72.0,74.0,73.0,75.0,,600.0
2429,596,13,32.26849315068493,24.83564645726808,68,57,54,56,53,55,36,52,1,1,2,1,1,1,22,13,15,16,6,12,20,14,25,24,35,36,42,43,52,20,41,32,35,18,32,26,14,56,20,5,4,9,54,56,53,52,55,,,,,,,,,,,54.0,6.0
2430,11,9,32.23013698630137,23.7021620996647,146,82,64,77,80,83,43,76,2,3,3,1,2,2,73,75,68,85,81,86,82,68,76,88,62,66,73,81,48,76,49,72,79,83,80,54,74,85,67,33,40,37,14,15,13,9,7,79.0,60.0,77.0,79.0,80.0,81.0,78.0,66.0,57.0,60.0,,2250.0
2431,380,4,27.065753424657533,20.371208691715708,138,73,51,62,48,59,29,67,1,2,3,1,0,1,35,69,75,62,50,58,34,30,43,66,50,52,44,68,51,55,48,58,78,56,54,24,73,47,61,20,27,24,7,12,14,11,5,58.0,42.0,65.0,58.0,62.0,60.0,55.0,45.0,44.0,42.0,,92.5
2432,210,35,23.77260273972603,20.97117202268431,43,68,78,61,44,65,21,57,1,2,3,2,1,1,36,66,62,49,46,67,40,32,40,63,74,82,65,52,62,60,64,51,67,54,38,15,59,52,60,14,19,16,6,6,5,10,14,60.0,38.0,62.0,60.0,61.0,59.0,50.0,37.0,35.0,38.0,,47.5
2433,136,24,28.473972602739725,24.075473810923548,51,70,71,31,39,44,62,77,1,2,3,0,1,1,32,24,61,47,29,35,37,26,43,60,73,70,39,55,34,43,41,66,91,33,64,59,33,33,36,58,66,64,10,10,10,10,10,44.0,59.0,47.0,44.0,44.0,44.0,47.0,57.0,63.0,59.0,,52.5
2434,60,24,33.9041095890411,23.24380165289256,51,62,60,49,62,60,53,63,1,2,2,1,1,1,64,44,41,68,33,53,45,35,62,64,61,59,72,66,69,55,63,63,67,58,53,53,47,62,43,50,61,53,11,13,14,5,11,59.0,59.0,54.0,59.0,57.0,60.0,61.0,60.0,56.0,59.0,,28.0
2435,383,18,37.6,21.73650525298877,65,68,74,69,61,68,27,55,1,3,3,1,0,2,59,71,55,64,66,70,68,47,54,65,75,74,72,65,57,65,47,67,57,66,35,23,70,66,71,29,22,19,7,13,12,8,13,68.0,46.0,67.0,68.0,68.0,67.0,60.0,46.0,38.0,46.0,,55.0
2436,33,5,33.42465753424658,22.714681440443215,163,70,41,62,69,64,68,69,1,2,3,1,2,1,66,54,65,72,59,64,58,47,70,69,40,42,51,69,49,77,53,63,74,67,68,73,59,73,57,65,69,62,16,11,12,7,15,62.0,64.0,63.0,62.0,63.0,65.0,69.0,69.0,67.0,64.0,,140.0
